name,price,spec_score,display_inches,pixel_resolution,network_connection,smart_tv,speakers,processor
Xiaomi Mi TV EA Pro 55 inch Ultra HD 4K Smart LED TV,"₹23,490",70,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","MT9638 Chip Processor, 2 GB RAM, 16 GB Storage"
Sansui Neo JSW32CSHD 32-inch HD Ready Smart LED TV,"₹9,999",46,"31.5 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Mali G31 Processor, 512 MB RAM, 4 GB Storage"
LG 32LQ573BPSA 32 Inch HD Ready Smart LED TV,"₹17,940",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Croma CREL055USA024601 55-Inch Ultra HD 4K Smart LED TV,"₹33,990",62,"55 in, LED TV","4K Resolution, 3480 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
CompaQ Hueq X 43 inch Full HD Smart LED TV (CQV43FDS),"₹25,990",53,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 14 w Output",Quad Core Processor
Samsung UA85BU8000KXXL 85 inch Ultra HD 4K Smart LED TV,"₹3,64,990",83,"85 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Croma CREL032HOF024601 32 Inch HD Ready Smart LED TV,"₹12,990",47,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
ONIDA 32IV 32 inch HD Ready Smart LED TV,"₹11,999",45,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Infinix X3 32 inch HD Ready Smart LED TV,"₹10,499",53,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Realtek RTD2841 Processor, 1 GB RAM, 8 GB Storage"
Vu 65QMP 65 inch Ultra HD 4K Smart QLED TV,"₹84,990",81,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4.1 Speakers, 100 w Output","3 GB RAM, 16 GB Storage"
Samsung QA98QN90AAKXXL 98 Inch Ultra HD 4K Smart LED TV,"₹16,74,000",88,"95 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 60 w Output",Neo Quantum Processor 4K Processor
Adsun Frameless A-3210S/F 32 inch HD Ready  Smart LED TV,"₹7,999",44,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 1 GB RAM, 8 GB Storage"
OnePlus Y1S Edge 43 inch Full HD Smart LED TV,"₹25,999",57,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","1 GB RAM, 8 GB Storage"
Sony Bravia XR-65A95K 65 inch Ultra HD 4K Smart OLED TV,"₹2,89,990",83,"65 in, OLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,Cognitive Processor XR Processor,178 ° Viewing Angle
Xiaomi Mi TV EA70 2022 70 inch Ultra HD 4K Smart LED TV,"₹49,999",72,"70 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Cortex A35 Processor, 1.5 GB RAM, 8 GB Storage"
LG NanoCell 55NANO75TPZ 55-inch Ultra HD 4K Smart LED TV,"₹59,990",74,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 8 GB Storage"
LG NanoCell 50NANO75TPZ 50-inch Ultra HD 4K Smart LED TV,"₹57,999",70,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 8 GB Storage"
Foxsky 32FS-VS 32-inch Full HD Smart LED TV,"₹7,999",53,"32 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,"2 Speakers, 30 w Output","1 GB RAM, 8 GB Storage"
Itel G5534IE 55-inch Ultra HD 4K Smart LED TV,"₹46,999",69,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","Cortex A53 Processor, 2 GB RAM, 8 GB Storage"
Samsung Crystal 55AU7500 55-inch Ultra HD 4K Smart LED TV,"₹50,480",69,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung Crystal 65AU7700 65-inch Ultra HD 4K Smart LED TV,"₹82,750",74,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
OnePlus U1S 50-inch Ultra HD 4K Smart LED TV,"₹37,999",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Cortex-A55 x 4 Processor, 2 GB RAM, 16 GB Storage"
Sony X75 KD-43X75 43-inch Ultra HD 4K Smart LED TV,"₹44,990",65,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
OnePlus U1S 55-inch Ultra HD 4K Smart LED TV,"₹42,999",72,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 30 w Output","2 GB RAM, 16 GB Storage"
OnePlus 40Y1 40 inch Full HD Smart LED TV,"₹21,999",54,"40 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Cortex-A53 x 4 Processor, 1 GB RAM, 8 GB Storage"
Samsung Crystal 4K UA55AUE60AKLXL 55-inch Ultra HD 4K Smart LED TV,"₹45,990",67,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor
Croma CREL7369 32-inch HD Ready LED TV,"₹7,490",36,"32 in, LED TV",1366 x 768 pixels,Smart TV: No,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Hisense Tornado 55-inch Ultra HD 4K Smart LED TV,"₹43,990",76,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"6 Speakers, 102 w Output","Cortex-A53  Processor, 2 GB RAM, 16 GB Storage"
Sony Bravia KD-55X7002G 55-inch Ultra HD 4K Smart LED TV,"₹49,999",71,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",1 GB RAM
Oppo TV R1 55-inch Ultra HD 4K Smart LED TV,"₹38,999",63,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","2 GB RAM, 32 GB Storage"
Haier LE32K6600GA 32-inch HD Ready Smart AI Plus LED TV,"₹16,999",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung 32T4350 32-inch HD Ready Smart LED TV,"₹16,500",44,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
TCL 65C815 65-inch Ultra HD 4K Smart QLED TV,"₹64,990",75,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Cortex A55 Processor, 2 GB RAM, 16 GB Storage"
Xiaomi Redmi X55 55-inch Ultra HD 4K Smart LED TV,"₹39,999",73,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","MediaTek MT9611 Cortex-A55 Processor, 2 GB RAM, 16 GB Storage"
Xiaomi Mi TV 5 75-inch Ultra HD 4K Smart QLED TV,"₹80,990",73,"75 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,4 Speakers,"Amlogic T972  Processor, 3 GB RAM, 32 GB Storage"
LG 32LM576BPTC 32-inch HD Ready Smart LED TV,"₹23,490",47,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Quad Core Processor
BeethoSOL LEDATBG32HDEK 32 inch HD Ready LED TV,"₹6,299",33,"32 in, LED TV",1366 x 768 pixels,"2 Speakers, 24 w Output","2 HDMI Ports, 2 USB Ports","60 Hz, 16:9 Ratio",
Sony Bravia X74K 50 inch Ultra HD 4K Smart LED TV (KD-50X74K),"₹53,990",65,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","3 HDMI Ports, 2 USB Ports"
Dot One 32N.1-FR01 32 inch HD Ready LED TV,"₹6,987",35,"32 in, LED TV",1366 x 768 pixels,Smart TV: No,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Dot One 24S.1-FRC9 24 inch HD Ready Smart LED TV,"₹7,289",46,"24 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 8 w Output","A53 1.2GHz Processor, 512 MB RAM, 4 GB Storage"
Dot One 32S.1-FRB9 32 inch HD Ready Smart LED TV,"₹8,389",47,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 10 w Output","ARM Cortex-A53/1.5GHz Processor, 512 MB RAM, 4 GB Storage"
Dot One 50U.1-02C9 50 inch Ultra HD 4K Smart LED TV,"₹28,590",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","A55/ 1.9GHz Processor, 2 GB RAM, 16 GB Storage"
TruSense TS 4343 43 inch Ultra HD 4K Smart LED TV,"₹35,000",68,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 24 w Output","1.5 GB RAM, 8 GB Storage"
Dot One 32S.1-FLC9 32 inch HD Ready Smart LED TV,"₹8,490",49,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 10 w Output","A53 1.2GHz Processor, 1 GB RAM, 8 GB Storage"
Blaupunkt 24Sigma707 24 inch HD Ready Smart LED TV,"₹7,499",44,"24 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",Quad Core Processor
SENS Pikaso 50 inch Ultra HD 4K Smart LED TV (SENS50WASUHD),"₹23,999",66,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",CA53 Processor
Haier 43EGA1 43 inch Full HD Smart LED TV,"₹27,900",49,"43 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","3 HDMI Ports, 2 USB Ports"
Kodak Matrix 55 inch Ultra HD 4K Smart QLED TV,"₹39,999",70,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","MediaTek MT9062 Processor, 2 GB RAM, 16 GB Storage"
Croma CREL043USA024601 43 inch Ultra HD 4K Smart LED TV,"₹20,990",66,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","2 GB RAM, 8 GB Storage"
BPL 32H-B4000 32 inch HD Ready Smart LED TV,"₹12,979",42,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 18 w Output",178 ° Viewing Angle
Intex LED-SHF3291 32 inch HD Ready Smart LED TV Smart,"₹11,990",52,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1 GB RAM, 8 GB Storage"
Croma CREL024HBB024602 24 inch HD Ready LED TV,"₹5,590",35,"24 in, LED TV",1366 x 768 pixels,"2 Speakers, 16 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports","60 Hz, 16:9 Ratio"
Panasonic TH-43LX700DX 43 inch Ultra HD 4K Smart LED TV,"₹32,790",70,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","2 GB RAM, 16 GB Storage"
LeTV Super TV F50 Pro 50 inch Ultra HD 4K Smart LED TV,"₹15,999",71,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 16 w Output","A55 processor Processor, 2 GB RAM, 16 GB Storage"
LG NANO75 43 Inch Ultra HD 4K Smart LED TV (43NANO75SQA),"₹52,990",71,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
iFFALCON by TCL iFF55U62 55 inch Ultra HD 4K Smart LED TV,"₹35,999",66,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output",2 GB RAM
Skytron S32FHSC 32 Inches Full HD Smart LED TV,"₹9,689",50,"32 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,"2 Speakers, 24 w Output","1 GB RAM, 8 GB Storage"
LG 75UQ8040PSB 75 inch Ultra HD 4K Smart LED TV,"₹1,45,999",76,"75 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",α5 Gen5 AI Processor 4K Processor
Infinix X3 50 inch Ultra HD 4K Smart LED TV (50X3),"₹24,999",67,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 24 w Output","1.5 GB RAM, 16 GB Storage"
Hisense 55A7H 55 inch Ultra HD 4K Smart LED TV,"₹34,990",74,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"6 Speakers, 102 w Output","2 GB RAM, 16 GB Storage"
Blaupunkt 50QD7010 50 Inch 4K Ultra HD QLED Smart TV,"₹35,999",71,"50 in, QLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"4 Speakers, 60 w Output",16 GB Storage
Acer AR50AR2851UDPRO 50 inch Ultra HD 4K Smart LED TV,"₹30,999",74,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 60 w Output","2 GB RAM, 16 GB Storage"
Kodak 50MT5011 50-inch Ultra HD 4K Smart LED TV,"₹29,999",65,"50 in, QLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 40 w Output",16 GB Storage
LG 50UQ8040PSB 50 Inch Ultra HD 4K Smart LED TV,"₹54,490",68,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
LG 65UQ8040PSB 65 Inch Ultra HD 4K Smart LED TV,"₹84,590",71,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Panasonic TH-40LS670DX 40-inch Full HD Smart LED TV,"₹31,599",51,"40 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,16 w Output,"1.5 GB RAM, 8 GB Storage"
Thomson Q55H1001 55 inch Ultra HD 4K Smart LED TV,"₹37,999",73,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","1 GB RAM, 16 GB Storage"
LG A2 55 inch Ultra HD 4K Smart OLED TV  (OLED55A2PSA),"₹1,04,990",76,"55 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Alpha7 Gen 5 AI Processor 4K Processor, 2 GB RAM, 8 GB Storage"
LG UQ7500 65 inch Ultra HD 4K Smart LED TV (65UQ7500PSF),"₹79,990",73,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Gen5 AI Processor 4K Processor, 1.5 GB RAM, 8 GB Storage"
LG C2X OLED65C2XSA 65 inch Ultra HD 4K Smart OLED TV,"₹2,12,990",83,"65 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Sansui JSW70ASUHDFF 70-inch Ultra HD 4K Smart LED TV,"₹64,999",72,"70 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 2 w Output","2 GB RAM, 32 GB Storage"
Toshiba 50C350LP 50 inch Ultra HD 4K Smart LED TV,"₹29,990",69,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","MT9612IAATNC / 4 Processor, 2 GB RAM, 16 GB Storage"
Toshiba 65M550LP 65 inch Ultra HD 4K Smart LED TV,"₹64,990",75,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"3 Speakers, 49 w Output","Quad Core Processor, 2 GB RAM, 16 GB Storage"
Coocaa 55Y72 Frameless Series 55-inch Ultra HD 4K Smart LED TV,"₹36,999",71,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","2 GB RAM, 16 GB Storage"
Xiaomi Mi TV ES Pro 65 inch Ultra HD 4K Smart LED TV,"₹55,490",77,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 25 w Output","A73 processor
 Processor, 3 GB RAM, 32 GB Storage"
TCL 55P735 55 Inch Ultra HD 4K Smart LED TV,"₹37,990",62,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 30 w Output",178 ° Viewing Angle
NVY NVA24BR1 24-inch HD Ready Smart LED TV,"₹5,990",48,"24 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1 GB RAM, 8 GB Storage"
LG A2 65 inch Ultra HD 4K Smart OLED TV (OLED65A2PSA),"₹1,54,990",73,"65 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",α7 Gen5 AI Processor 4K Processor
Candy C32KA66 32 Inch HD Ready Smart LED TV,"₹8,990",53,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",32 GB Storage
Samsung UA43AUE65AKXXL 43 Inch Ultra HD 4K Smart LED TV,"₹31,499",72,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","2 GB RAM, 16 GB Storage"
Samsung UA60BU8000KLXL 60 inch Ultra HD 4K Smart LED TV,"₹76,490",75,"60 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
InnoQ Frameless IN43-FSBDLX 43 inch Full HD Smart LED TV,"₹14,490",51,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Quad Core Processor, 8 GB Storage"
Samsung The Frame QA55LS03BAKLXL 55 inch Ultra HD 4K Smart QLED TV,"₹87,990",78,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 40 w Output",Quantum Processor 4K  Processor
Lloyd 55US850C 55 Inch Ultra HD 4K Smart LED TV,"₹51,990",70,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Hisense 43A4G 43 inch Full HD Smart LED TV,"₹22,990",53,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA55×4 @ 1.45GHz Processor, 1 GB RAM, 8 GB Storage"
Croma CREL050USA024601 50-Inch Ultra HD 4K Smart LED TV,"₹28,990",62,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Dyanora DY-LD43F2S 43 inch Full HD Smart LED TV,"₹15,499",52,"43 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","Quad Core Processor Processor, 1 GB RAM, 8 GB Storage"
Samsung QA55Q70BAKLXL 55 ich Ultra HD 4K Smart QLED TV,"₹99,990",75,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Motorola Revou 2 55 inch Ultra HD 4K Smart LED TV,"₹34,999",71,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Quad core Processor, 2 GB RAM, 8 GB Storage"
Realme Smart TV X 43 inch Full HD Smart LED TV,"₹22,999",57,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 24 w Output","MediaTek Quad Core 6883 Processor, 1 GB RAM, 8 GB Storage"
Haier LE58K7700HQGA 58 Inch Ultra HD 4K Smart LED TV,"₹52,190",71,"58 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,20 w Output,178 ° Viewing Angle
Samsung UA65BU8570ULXL 65 inch 4K Ultra HD Smart LED TV,"₹98,000",74,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Samsung UA43BU8570ULXL 43 inch 4K Ultra HD Smart LED TV,"₹43,990",65,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet","2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung QA43Q60BAKLXL 43 inch Ultra HD 4K Smart QLED TV,"₹51,700",71,"43 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung QN95B 65 inch Ultra HD 4K Smart QLED TV (QA65QN95BAKLXL),"₹2,09,990",87,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4.2.2CH Speakers, 70 w Output",178 ° Viewing Angle
Croma CREL040FOF024601 40 Inch Full HD Smart LED TV,"₹17,490",50,"40 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Beston BS43UW1 43 inch Ultra HD 4K Smart LED TV,"₹22,263",69,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","‎Mali G31 MP2 700MHz Processor, 1.5 GB RAM, 8 GB Storage"
Beston BS32HW1 32 inch HD Ready Smart LED TV,"₹9,999",52,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"‎Mali G31 MP2 700MHz Processor, 1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle
Panasonic TH-55LX700DX 55 inch Ultra HD 4K LED Smart TV,"₹54,370",65,"54.72 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 Output",178 ° Viewing Angle
Blaupunkt Cybersound 43CSA7121 43 Inch Full HD Smart LED TV,"₹16,999",57,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","ARM Cortex A53 - 1.4 GHz Processor, 1 GB RAM, 8 GB Storage"
Infinix X3 43 inch Full HD Smart LED TV,"₹17,999",55,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 36 w Output","Realtek RTD2841 Processor, 1 GB RAM, 8 GB Storage"
Vu 75QMP 75 inch Ultra HD 4K Smart QLED TV,"₹1,19,990",83,"75 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4.1 Speakers, 100 w Output","3 GB RAM, 16 GB Storage"
Samsung Crystal 75AU7700 75-inch Ultra HD 4K Smart LED TV,"₹1,59,990",74,"75 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
iFFALCON 32F65A 32 inch HD Ready LED Smart TV,"₹11,990",54,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1 GB RAM, 8 GB Storage"
Akai AKLT32S-FL1Y9M 32 inch HD Ready Smart LED TV,"₹11,990",49,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1 GB RAM, 8 GB Storage"
Coocaa 43S7G 43 inch Full HD Smart LED TV,"₹16,999",56,"42.52 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","ARM A55 Quad Core, 1.5 GHz Processor, 1 GB RAM, 8 GB Storage"
Akai AKLT43U-F7VSW 43 inch Ultra HD 4K Smart LED TV,"₹22,999",70,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1.5 GB RAM, 8 GB Storage"
Sony Bravia A80K 65 inch Ultra HD 4K Smart OLED TV (XR-65A80K),"₹2,37,490",83,"65 in, OLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,Cognitive Processor XR Processor,178 ° Viewing Angle
iFFALCON 55U71 55 inch Ultra HD 4K Smart LED TV,"₹37,990",72,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","2 GB RAM, 16 GB Storage"
LG StanbyME 27 inch Wireless TV,"₹99,999",45,27 in,Wifi,Smart TV,178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",3D TV: No
Xiaomi Mi TV ES50 2022 50-inch Ultra HD 4K Smart LED TV,"₹29,999",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 23 w Output","Cortex A55 Processor, 2 GB RAM, 32 GB Storage"
Thomson 55OPMAX9055 55-inch Ultra HD 4K Smart LED TV,"₹28,999",68,"54.72 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","A53 x 4-1.5 GHz Processor, 2 GB RAM, 8 GB Storage"
LG 32LM6360PTB 32-inch Full HD Smart LED TV,"₹27,990",52,"32 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Quad Core Processor
Haier S8 LE65S8HQGA 65-inch Ultra HD 4K Smart LED TV,"₹94,990",69,65 in,"4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output",176 ° Viewing Angle
