Brand,Model,Capacity,Energy Rating,Type,Features,Color,Material,Warranty Period,Country of Manufacture,Price
Frigidaire,Model4379,340.0,B,Single Door,Ice Dispenser,Gray,Stainless Steel,6.0,China,913.0
Haier,Model4382,712.0,A++,Side-by-Side,Standard,Silver,Plastic,6.0,India,465.0
Electrolux,Model4383,501.0,A++,Double Door,Water Dispenser,White,Glass,1.0,Germany,1408.0
Haier,Model4384,382.0,A++,Double Door,Smart Connectivity,Black,Stainless Steel,1.0,Germany,546.0
Electrolux,Model4385,646.0,A++,Single Door,Standard,Silver,Plastic,6.0,Germany,1195.0
Electrolux,Model4386,553.0,A+,Double Door,Water Dispenser,White,Glass,1.0,USA,1450.0
LG,Model4387,556.0,A+,Single Door,Ice Dispenser,Silver,Stainless Steel,4.0,China,372.0
Whirlpool,Model4388,606.0,A,Single Door,Water Dispenser,White,Glass,7.0,Germany,307.0
Electrolux,Model4390,111.0,A+,Double Door,Water Dispenser,Silver,Stainless Steel,1.0,India,832.0
Siemens,Model4392,453.0,B,Double Door,Water Dispenser,White,Glass,1.0,China,392.0
Whirlpool,Model4397,361.0,A++,Single Door,Ice Dispenser,White,Stainless Steel,9.0,India,660.0
Samsung,Model4400,483.0,B,Side-by-Side,Water Dispenser,Black,Stainless Steel,8.0,USA,1944.0
Whirlpool,Model4401,263.0,A+,Side-by-Side,Water Dispenser,Black,Glass,3.0,USA,1943.0
Electrolux,Model4402,321.0,B,Side-by-Side,Ice Dispenser,Silver,Plastic,9.0,China,1114.0
GE,Model4403,160.0,B,Double Door,Standard,White,Plastic,2.0,USA,823.0
Siemens,Model4404,334.0,A++,Single Door,Smart Connectivity,Black,Glass,4.0,India,1411.0
Bosch,Model4405,530.0,A,Double Door,Smart Connectivity,Black,Plastic,9.0,USA,1414.0
Haier,Model4409,723.0,A++,Single Door,Water Dispenser,Gray,Glass,4.0,India,310.0
LG,Model4410,799.0,B,Side-by-Side,Smart Connectivity,White,Plastic,3.0,Germany,494.0
Whirlpool,Model4412,715.0,A+,Single Door,Standard,Gray,Glass,3.0,USA,1942.0
Electrolux,Model4413,212.0,A++,Side-by-Side,Water Dispenser,Black,Glass,4.0,Germany,203.0
Panasonic,Model4414,629.0,A,Double Door,Ice Dispenser,Silver,Stainless Steel,7.0,Germany,1246.0
Bosch,Model4415,254.0,A+,Single Door,Water Dispenser,Silver,Plastic,5.0,USA,301.0
Bosch,Model4416,237.0,A+,Double Door,Water Dispenser,Gray,Plastic,5.0,USA,1985.0
Panasonic,Model4418,437.0,B,Side-by-Side,Smart Connectivity,Black,Plastic,2.0,USA,344.0
Haier,Model4419,129.0,A++,Single Door,Ice Dispenser,Black,Glass,8.0,Germany,1519.0
Bosch,Model4420,648.0,B,Side-by-Side,Ice Dispenser,Silver,Plastic,9.0,China,215.0
Bosch,Model4421,117.0,A,Double Door,Ice Dispenser,Gray,Plastic,3.0,USA,1907.0
GE,Model4422,423.0,B,Double Door,Standard,Black,Glass,2.0,China,1762.0
Siemens,Model4423,239.0,A,Double Door,Standard,White,Plastic,3.0,USA,710.0
Panasonic,Model4424,364.0,A++,Single Door,Ice Dispenser,Silver,Glass,5.0,Germany,641.0
Frigidaire,Model4425,252.0,A,Single Door,Ice Dispenser,Gray,Stainless Steel,6.0,China,1404.0
GE,Model4426,449.0,B,Single Door,Smart Connectivity,Gray,Stainless Steel,6.0,China,345.0
Siemens,Model4430,422.0,A++,Single Door,Water Dispenser,White,Plastic,7.0,India,1154.0
GE,Model4431,506.0,B,Side-by-Side,Standard,Silver,Glass,8.0,USA,550.0
Haier,Model4434,353.0,A++,Side-by-Side,Standard,Gray,Stainless Steel,6.0,India,1301.0
LG,Model4436,676.0,A,Single Door,Water Dispenser,White,Plastic,3.0,China,404.0
Samsung,Model4437,569.0,A+,Double Door,Ice Dispenser,Silver,Plastic,6.0,USA,1669.0
Electrolux,Model4438,211.0,B,Side-by-Side,Water Dispenser,White,Glass,8.0,China,1958.0
Bosch,Model4439,750.0,A++,Side-by-Side,Standard,Silver,Stainless Steel,1.0,China,1014.0
Haier,Model4444,650.0,A++,Side-by-Side,Water Dispenser,Silver,Plastic,4.0,India,1154.0
Haier,Model4445,359.0,B,Single Door,Smart Connectivity,Silver,Glass,5.0,USA,1174.0
GE,Model4449,344.0,B,Single Door,Water Dispenser,Gray,Glass,8.0,China,1161.0
LG,Model4452,158.0,A++,Single Door,Ice Dispenser,White,Plastic,9.0,Germany,1668.0
Samsung,Model4454,277.0,A,Double Door,Smart Connectivity,Silver,Plastic,2.0,USA,1979.0
Electrolux,Model4455,433.0,A+,Double Door,Water Dispenser,Black,Glass,3.0,China,661.0
Samsung,Model4460,246.0,B,Single Door,Ice Dispenser,Gray,Plastic,9.0,Germany,351.0
Frigidaire,Model4461,523.0,B,Side-by-Side,Water Dispenser,Gray,Stainless Steel,5.0,China,995.0
Bosch,Model4462,649.0,A+,Single Door,Smart Connectivity,Black,Plastic,2.0,USA,1700.0
Bosch,Model4465,107.0,A++,Double Door,Ice Dispenser,Gray,Stainless Steel,7.0,Germany,1602.0
LG,Model4468,203.0,A,Single Door,Smart Connectivity,Silver,Glass,1.0,India,1244.0
Electrolux,Model4469,750.0,A,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,4.0,Germany,1745.0
Electrolux,Model4471,518.0,A+,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,9.0,USA,1791.0
Samsung,Model4473,479.0,A,Double Door,Smart Connectivity,Gray,Plastic,3.0,USA,1159.0
Frigidaire,Model4474,615.0,A+,Double Door,Ice Dispenser,Gray,Plastic,3.0,USA,845.0
Samsung,Model4475,424.0,A++,Side-by-Side,Smart Connectivity,White,Glass,3.0,USA,1913.0
Whirlpool,Model4477,798.0,A++,Double Door,Ice Dispenser,Black,Glass,9.0,USA,1655.0
Samsung,Model4479,309.0,B,Single Door,Standard,White,Stainless Steel,6.0,Germany,504.0
Frigidaire,Model4480,528.0,A+,Double Door,Standard,Black,Glass,1.0,Germany,1697.0
Haier,Model4481,735.0,A++,Double Door,Water Dispenser,Silver,Stainless Steel,8.0,India,1156.0
GE,Model4482,516.0,A++,Side-by-Side,Water Dispenser,Silver,Glass,1.0,USA,1888.0
LG,Model4483,791.0,A++,Side-by-Side,Smart Connectivity,Gray,Glass,5.0,USA,1283.0
Whirlpool,Model4484,720.0,A,Side-by-Side,Standard,White,Glass,3.0,Germany,701.0
LG,Model4486,699.0,A,Double Door,Standard,Black,Glass,8.0,Germany,1606.0
Samsung,Model4487,146.0,A+,Side-by-Side,Smart Connectivity,Silver,Plastic,9.0,Germany,577.0
Siemens,Model4488,383.0,A,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,4.0,India,1155.0
Whirlpool,Model4489,738.0,A+,Double Door,Standard,Silver,Stainless Steel,8.0,India,577.0
Panasonic,Model4491,165.0,A+,Single Door,Water Dispenser,White,Glass,4.0,China,689.0
Electrolux,Model4493,682.0,B,Side-by-Side,Water Dispenser,White,Plastic,8.0,USA,406.0
LG,Model4494,614.0,A,Double Door,Standard,Silver,Stainless Steel,6.0,India,1068.0
Siemens,Model4497,485.0,A+,Single Door,Standard,Silver,Stainless Steel,5.0,Germany,659.0
LG,Model4499,305.0,A+,Double Door,Ice Dispenser,Silver,Glass,3.0,China,1342.0
Whirlpool,Model4501,681.0,A,Single Door,Water Dispenser,Gray,Stainless Steel,6.0,India,1556.0
Frigidaire,Model4502,466.0,B,Single Door,Water Dispenser,Gray,Stainless Steel,1.0,USA,1441.0
Haier,Model4503,241.0,B,Single Door,Water Dispenser,Silver,Stainless Steel,3.0,China,250.0
Bosch,Model4504,159.0,A,Single Door,Ice Dispenser,Black,Plastic,7.0,India,337.0
Haier,Model4505,135.0,A++,Single Door,Smart Connectivity,White,Stainless Steel,6.0,China,557.0
Siemens,Model4506,279.0,A,Double Door,Standard,Silver,Plastic,9.0,Germany,1719.0
Electrolux,Model4511,550.0,A++,Side-by-Side,Ice Dispenser,White,Glass,6.0,India,784.0
Haier,Model4512,470.0,A+,Double Door,Ice Dispenser,White,Glass,8.0,China,1074.0
Electrolux,Model4515,295.0,A+,Double Door,Standard,Silver,Stainless Steel,7.0,India,889.0
Siemens,Model4516,694.0,A,Single Door,Standard,Gray,Plastic,7.0,China,1670.0
GE,Model4520,644.0,A++,Double Door,Smart Connectivity,Black,Stainless Steel,5.0,India,1299.0
Electrolux,Model4521,632.0,A+,Single Door,Water Dispenser,Black,Glass,5.0,USA,1391.0
Bosch,Model4522,171.0,A,Side-by-Side,Standard,Gray,Glass,5.0,India,1410.0
Siemens,Model4524,286.0,A++,Single Door,Water Dispenser,Silver,Glass,9.0,Germany,1882.0
Panasonic,Model4525,647.0,B,Single Door,Standard,Silver,Stainless Steel,5.0,China,823.0
Samsung,Model4527,709.0,B,Double Door,Standard,White,Plastic,4.0,USA,799.0
Electrolux,Model4528,310.0,A,Single Door,Smart Connectivity,Black,Plastic,1.0,Germany,1558.0
Electrolux,Model4530,773.0,A++,Side-by-Side,Water Dispenser,White,Stainless Steel,7.0,Germany,759.0
Electrolux,Model4532,559.0,B,Single Door,Standard,Silver,Glass,2.0,China,1112.0
Samsung,Model4533,580.0,A,Double Door,Water Dispenser,Silver,Plastic,8.0,India,1239.0
Frigidaire,Model4534,411.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,8.0,India,335.0
Siemens,Model4535,250.0,A,Double Door,Standard,Silver,Glass,4.0,USA,1087.0
Samsung,Model4536,284.0,A+,Side-by-Side,Ice Dispenser,Gray,Glass,3.0,China,1270.0
Siemens,Model4537,753.0,B,Side-by-Side,Standard,Silver,Stainless Steel,7.0,USA,549.0
Electrolux,Model4538,363.0,A,Side-by-Side,Water Dispenser,Gray,Stainless Steel,7.0,China,435.0
LG,Model4539,754.0,A++,Side-by-Side,Ice Dispenser,White,Glass,8.0,India,377.0
Bosch,Model4544,674.0,B,Single Door,Standard,Gray,Plastic,4.0,India,235.0
Electrolux,Model4545,455.0,A++,Double Door,Standard,White,Stainless Steel,4.0,India,1237.0
GE,Model4546,529.0,A+,Single Door,Smart Connectivity,Gray,Plastic,4.0,USA,754.0
Haier,Model4547,434.0,A,Single Door,Standard,White,Plastic,7.0,India,1906.0
Panasonic,Model4549,417.0,A+,Single Door,Ice Dispenser,Gray,Plastic,4.0,China,1453.0
Siemens,Model4551,203.0,A+,Side-by-Side,Smart Connectivity,White,Plastic,8.0,USA,1102.0
Haier,Model4554,737.0,A+,Single Door,Standard,Black,Glass,5.0,India,885.0
Samsung,Model4555,291.0,A,Side-by-Side,Smart Connectivity,Gray,Plastic,7.0,India,1787.0
Frigidaire,Model4556,632.0,B,Single Door,Smart Connectivity,Silver,Plastic,3.0,USA,1704.0
Bosch,Model4559,299.0,A+,Single Door,Ice Dispenser,Gray,Stainless Steel,5.0,China,1838.0
Whirlpool,Model4560,178.0,A++,Side-by-Side,Ice Dispenser,Silver,Plastic,3.0,Germany,305.0
Whirlpool,Model4562,316.0,A++,Single Door,Standard,Black,Stainless Steel,1.0,China,536.0
Haier,Model4563,615.0,A++,Double Door,Water Dispenser,Black,Glass,9.0,China,1303.0
GE,Model4564,743.0,A++,Single Door,Smart Connectivity,White,Stainless Steel,3.0,Germany,500.0
Electrolux,Model4566,214.0,A++,Single Door,Ice Dispenser,Gray,Glass,4.0,India,907.0
GE,Model4568,672.0,A+,Single Door,Standard,Gray,Stainless Steel,8.0,Germany,981.0
Electrolux,Model4569,162.0,A,Side-by-Side,Smart Connectivity,White,Glass,6.0,USA,1851.0
GE,Model4570,473.0,B,Side-by-Side,Standard,Silver,Stainless Steel,7.0,Germany,913.0
Frigidaire,Model4573,541.0,A+,Side-by-Side,Water Dispenser,Gray,Glass,6.0,India,1035.0
GE,Model4574,774.0,B,Single Door,Standard,Black,Stainless Steel,4.0,USA,325.0
Haier,Model4576,480.0,A++,Single Door,Smart Connectivity,Black,Glass,7.0,India,564.0
Panasonic,Model4578,539.0,B,Single Door,Standard,Black,Plastic,7.0,India,1175.0
Electrolux,Model4579,314.0,B,Double Door,Smart Connectivity,White,Plastic,1.0,USA,884.0
Panasonic,Model4580,342.0,A+,Side-by-Side,Standard,Black,Plastic,2.0,China,1790.0
GE,Model4582,758.0,A,Double Door,Standard,Black,Stainless Steel,2.0,USA,1414.0
Frigidaire,Model4584,695.0,B,Single Door,Ice Dispenser,Black,Glass,8.0,Germany,948.0
Panasonic,Model4585,235.0,A++,Single Door,Water Dispenser,Black,Glass,3.0,Germany,337.0
GE,Model4586,383.0,A+,Double Door,Smart Connectivity,Silver,Plastic,7.0,Germany,998.0
Samsung,Model4587,148.0,A+,Single Door,Standard,White,Stainless Steel,9.0,Germany,1874.0
GE,Model4588,338.0,B,Double Door,Smart Connectivity,Silver,Plastic,9.0,India,763.0
Electrolux,Model4589,179.0,B,Side-by-Side,Standard,Gray,Stainless Steel,7.0,Germany,1108.0
Whirlpool,Model4590,629.0,A++,Single Door,Smart Connectivity,Gray,Stainless Steel,5.0,India,1884.0
Whirlpool,Model4594,746.0,A+,Side-by-Side,Ice Dispenser,White,Plastic,7.0,USA,1501.0
Whirlpool,Model4595,306.0,A,Side-by-Side,Ice Dispenser,Silver,Plastic,3.0,India,989.0
Frigidaire,Model4596,218.0,A++,Single Door,Smart Connectivity,Silver,Plastic,1.0,India,1431.0
Panasonic,Model4599,705.0,A,Side-by-Side,Standard,Black,Stainless Steel,8.0,China,1611.0
Siemens,Model4600,101.0,A+,Side-by-Side,Standard,White,Plastic,1.0,USA,246.0
LG,Model4601,479.0,B,Side-by-Side,Ice Dispenser,White,Stainless Steel,7.0,China,1723.0
GE,Model4602,397.0,B,Double Door,Standard,White,Plastic,9.0,USA,589.0
Electrolux,Model4603,712.0,B,Side-by-Side,Standard,White,Stainless Steel,9.0,India,452.0
LG,Model4604,475.0,B,Side-by-Side,Water Dispenser,Black,Stainless Steel,2.0,Germany,1337.0
Bosch,Model4607,785.0,A,Single Door,Water Dispenser,Gray,Plastic,4.0,India,752.0
Bosch,Model4608,190.0,A,Double Door,Water Dispenser,Silver,Plastic,6.0,India,230.0
Electrolux,Model4610,401.0,B,Double Door,Smart Connectivity,Silver,Stainless Steel,6.0,USA,1948.0
Whirlpool,Model4611,519.0,B,Double Door,Water Dispenser,Black,Glass,4.0,China,634.0
Haier,Model4612,456.0,A+,Single Door,Water Dispenser,Black,Stainless Steel,5.0,USA,666.0
Haier,Model4613,182.0,A,Single Door,Ice Dispenser,Black,Stainless Steel,1.0,India,474.0
Whirlpool,Model4614,650.0,A,Side-by-Side,Water Dispenser,Gray,Plastic,3.0,Germany,1394.0
Electrolux,Model4615,307.0,A,Side-by-Side,Smart Connectivity,Black,Stainless Steel,6.0,China,1318.0
Panasonic,Model4616,211.0,A,Single Door,Standard,Gray,Stainless Steel,9.0,Germany,1798.0
LG,Model4617,732.0,A,Single Door,Smart Connectivity,Silver,Glass,7.0,India,1634.0
Panasonic,Model4618,590.0,A+,Double Door,Standard,Silver,Plastic,5.0,China,1027.0
Panasonic,Model4619,269.0,A+,Double Door,Smart Connectivity,Black,Stainless Steel,7.0,Germany,885.0
Whirlpool,Model4620,260.0,A++,Side-by-Side,Water Dispenser,Black,Plastic,1.0,Germany,790.0
Electrolux,Model4622,534.0,A++,Single Door,Smart Connectivity,White,Plastic,8.0,Germany,896.0
Bosch,Model4623,531.0,A,Side-by-Side,Ice Dispenser,White,Plastic,3.0,India,1617.0
Panasonic,Model4624,399.0,B,Single Door,Standard,White,Glass,7.0,India,1841.0
Haier,Model4625,497.0,A++,Single Door,Smart Connectivity,Gray,Plastic,9.0,India,559.0
Siemens,Model4626,170.0,B,Double Door,Smart Connectivity,White,Plastic,1.0,China,1766.0
Samsung,Model4628,589.0,B,Double Door,Ice Dispenser,Silver,Stainless Steel,6.0,India,1781.0
Samsung,Model4631,468.0,B,Single Door,Water Dispenser,Black,Plastic,4.0,China,1369.0
Panasonic,Model4633,559.0,B,Double Door,Ice Dispenser,Gray,Stainless Steel,7.0,USA,1391.0
Frigidaire,Model4634,787.0,A++,Side-by-Side,Smart Connectivity,White,Plastic,9.0,USA,1982.0
Panasonic,Model4635,610.0,A+,Single Door,Water Dispenser,Black,Plastic,2.0,USA,250.0
Samsung,Model4637,353.0,A++,Side-by-Side,Standard,Gray,Plastic,2.0,China,1689.0
Samsung,Model4639,122.0,A+,Single Door,Standard,Silver,Stainless Steel,9.0,India,1840.0
Frigidaire,Model4640,307.0,B,Side-by-Side,Smart Connectivity,Silver,Glass,3.0,China,1615.0
Electrolux,Model4641,662.0,A++,Double Door,Standard,Black,Glass,2.0,Germany,1317.0
Electrolux,Model4644,634.0,A+,Double Door,Water Dispenser,Gray,Stainless Steel,3.0,India,1002.0
Bosch,Model4646,621.0,A++,Single Door,Ice Dispenser,Gray,Plastic,7.0,USA,473.0
Whirlpool,Model4647,609.0,A,Double Door,Smart Connectivity,Gray,Stainless Steel,5.0,USA,1342.0
Electrolux,Model4651,502.0,A+,Double Door,Water Dispenser,Black,Plastic,8.0,USA,1124.0
Haier,Model4652,706.0,B,Side-by-Side,Smart Connectivity,Gray,Plastic,8.0,China,1573.0
Whirlpool,Model4653,455.0,A+,Double Door,Smart Connectivity,White,Plastic,7.0,India,1547.0
GE,Model4655,495.0,A,Single Door,Smart Connectivity,Black,Plastic,2.0,USA,1379.0
Frigidaire,Model4656,362.0,A+,Double Door,Ice Dispenser,Silver,Plastic,4.0,Germany,629.0
Whirlpool,Model4657,538.0,A++,Double Door,Standard,Black,Plastic,1.0,China,1419.0
Frigidaire,Model4659,713.0,A++,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,3.0,Germany,525.0
GE,Model4660,196.0,B,Single Door,Smart Connectivity,White,Plastic,8.0,Germany,620.0
Electrolux,Model4662,231.0,A,Single Door,Standard,Gray,Glass,3.0,China,775.0
Bosch,Model4663,639.0,B,Single Door,Smart Connectivity,Silver,Plastic,5.0,Germany,1000.0
Frigidaire,Model4665,101.0,A++,Side-by-Side,Ice Dispenser,White,Plastic,4.0,China,1601.0
Frigidaire,Model4666,717.0,A,Single Door,Smart Connectivity,Silver,Stainless Steel,9.0,USA,1794.0
Haier,Model4668,727.0,A,Single Door,Standard,Black,Plastic,7.0,India,710.0
Electrolux,Model4669,304.0,A+,Double Door,Water Dispenser,Black,Glass,7.0,Germany,1036.0
Frigidaire,Model4672,439.0,A+,Double Door,Smart Connectivity,White,Stainless Steel,9.0,Germany,564.0
Whirlpool,Model4676,500.0,B,Double Door,Water Dispenser,Silver,Glass,7.0,USA,966.0
Samsung,Model4677,520.0,A++,Double Door,Standard,White,Stainless Steel,3.0,China,765.0
Frigidaire,Model4678,458.0,A++,Double Door,Smart Connectivity,Silver,Plastic,3.0,Germany,238.0
Siemens,Model4679,328.0,B,Double Door,Smart Connectivity,Silver,Plastic,2.0,Germany,1806.0
Siemens,Model4680,743.0,A+,Double Door,Water Dispenser,Black,Plastic,2.0,Germany,1075.0
Haier,Model4681,579.0,B,Single Door,Ice Dispenser,Silver,Stainless Steel,2.0,India,663.0
GE,Model4682,292.0,A,Double Door,Ice Dispenser,Silver,Stainless Steel,1.0,India,1327.0
LG,Model4684,355.0,A+,Side-by-Side,Smart Connectivity,Gray,Plastic,6.0,USA,1301.0
Samsung,Model4688,763.0,A+,Side-by-Side,Ice Dispenser,Silver,Glass,3.0,China,1050.0
Siemens,Model4689,466.0,A+,Double Door,Water Dispenser,Gray,Stainless Steel,5.0,India,1202.0
Siemens,Model4693,115.0,A+,Side-by-Side,Ice Dispenser,Black,Plastic,5.0,USA,1408.0
Haier,Model4694,478.0,A++,Side-by-Side,Standard,White,Glass,7.0,Germany,930.0
Panasonic,Model4695,544.0,A++,Single Door,Smart Connectivity,Black,Glass,2.0,Germany,505.0
Samsung,Model4697,143.0,A,Double Door,Ice Dispenser,White,Stainless Steel,9.0,USA,285.0
Haier,Model4698,245.0,B,Double Door,Ice Dispenser,Silver,Glass,5.0,India,1246.0
Siemens,Model4702,461.0,A+,Single Door,Standard,White,Stainless Steel,5.0,India,1643.0
Haier,Model4703,624.0,A,Side-by-Side,Ice Dispenser,Gray,Plastic,4.0,India,1038.0
Haier,Model4704,315.0,B,Side-by-Side,Water Dispenser,Gray,Stainless Steel,7.0,Germany,633.0
Whirlpool,Model4705,626.0,A+,Double Door,Standard,Black,Plastic,2.0,USA,1814.0
Whirlpool,Model4707,205.0,A,Double Door,Standard,Gray,Stainless Steel,5.0,USA,966.0
Bosch,Model4708,290.0,A,Double Door,Smart Connectivity,White,Stainless Steel,9.0,Germany,1564.0
GE,Model4710,303.0,A,Single Door,Standard,Silver,Stainless Steel,6.0,Germany,919.0
Electrolux,Model4711,231.0,A,Side-by-Side,Standard,Black,Stainless Steel,9.0,China,1148.0
GE,Model4715,462.0,A,Single Door,Smart Connectivity,Black,Plastic,7.0,Germany,1657.0
Haier,Model4716,338.0,A+,Double Door,Smart Connectivity,White,Glass,4.0,USA,1526.0
GE,Model4717,666.0,B,Side-by-Side,Water Dispenser,Silver,Stainless Steel,2.0,USA,1009.0
Frigidaire,Model4718,557.0,A,Single Door,Ice Dispenser,Gray,Glass,8.0,India,580.0
Bosch,Model4719,532.0,A+,Single Door,Water Dispenser,Black,Glass,3.0,USA,1696.0
Haier,Model4720,490.0,B,Single Door,Ice Dispenser,White,Glass,8.0,USA,651.0
Panasonic,Model4723,311.0,B,Side-by-Side,Standard,Black,Stainless Steel,7.0,China,294.0
Bosch,Model4725,318.0,B,Single Door,Water Dispenser,Gray,Stainless Steel,3.0,China,563.0
Bosch,Model4726,424.0,A++,Side-by-Side,Smart Connectivity,Gray,Plastic,1.0,India,1218.0
Samsung,Model4727,335.0,A,Double Door,Smart Connectivity,Gray,Glass,7.0,China,524.0
LG,Model4731,277.0,A,Double Door,Ice Dispenser,Gray,Glass,4.0,Germany,815.0
LG,Model4733,339.0,B,Side-by-Side,Standard,Gray,Stainless Steel,4.0,China,1842.0
Whirlpool,Model4735,110.0,B,Side-by-Side,Ice Dispenser,Silver,Glass,6.0,China,240.0
Panasonic,Model4736,327.0,A,Single Door,Standard,White,Plastic,4.0,India,450.0
Bosch,Model4737,705.0,A++,Single Door,Standard,White,Plastic,9.0,Germany,885.0
Electrolux,Model4740,327.0,A++,Single Door,Standard,Gray,Stainless Steel,5.0,USA,1144.0
Electrolux,Model4742,138.0,A+,Single Door,Ice Dispenser,Silver,Glass,8.0,Germany,992.0
Panasonic,Model4743,600.0,A+,Side-by-Side,Ice Dispenser,Black,Plastic,3.0,Germany,211.0
Panasonic,Model4744,296.0,A,Single Door,Water Dispenser,Gray,Stainless Steel,9.0,USA,1174.0
Haier,Model4747,691.0,A+,Single Door,Standard,Black,Plastic,2.0,Germany,1876.0
Frigidaire,Model4752,332.0,A,Side-by-Side,Standard,Gray,Stainless Steel,2.0,USA,665.0
Haier,Model4754,311.0,B,Single Door,Ice Dispenser,Silver,Stainless Steel,6.0,Germany,1123.0
Samsung,Model4756,687.0,B,Single Door,Smart Connectivity,Silver,Plastic,5.0,India,628.0
Siemens,Model4757,539.0,A++,Single Door,Standard,Gray,Stainless Steel,8.0,China,579.0
Frigidaire,Model4759,538.0,A++,Double Door,Standard,White,Glass,6.0,Germany,908.0
Haier,Model4760,538.0,A+,Single Door,Standard,Black,Stainless Steel,4.0,India,1137.0
Samsung,Model4762,786.0,A,Double Door,Smart Connectivity,White,Stainless Steel,1.0,China,1940.0
Samsung,Model4764,397.0,A,Side-by-Side,Water Dispenser,Gray,Glass,7.0,Germany,1591.0
Frigidaire,Model4765,684.0,B,Single Door,Standard,Gray,Stainless Steel,2.0,India,1170.0
LG,Model4766,425.0,A++,Single Door,Ice Dispenser,Silver,Plastic,3.0,USA,343.0
Panasonic,Model4768,332.0,A,Double Door,Ice Dispenser,Gray,Glass,3.0,China,1225.0
Samsung,Model4770,434.0,B,Double Door,Smart Connectivity,Black,Plastic,9.0,Germany,513.0
Samsung,Model4771,556.0,A+,Single Door,Smart Connectivity,Black,Plastic,5.0,China,1160.0
Haier,Model4772,653.0,A+,Double Door,Ice Dispenser,Black,Stainless Steel,4.0,China,1772.0
Samsung,Model4775,741.0,B,Double Door,Standard,White,Plastic,7.0,Germany,725.0
Bosch,Model4776,310.0,B,Single Door,Ice Dispenser,White,Stainless Steel,8.0,USA,1638.0
Whirlpool,Model4778,768.0,B,Double Door,Water Dispenser,Silver,Stainless Steel,3.0,USA,667.0
Bosch,Model4780,227.0,A+,Single Door,Ice Dispenser,Silver,Plastic,2.0,USA,1289.0
Siemens,Model4781,723.0,B,Single Door,Smart Connectivity,Silver,Plastic,3.0,China,712.0
Siemens,Model4783,211.0,A++,Double Door,Ice Dispenser,Black,Glass,8.0,China,1784.0
Bosch,Model4784,764.0,A,Double Door,Water Dispenser,Gray,Stainless Steel,3.0,China,1632.0
Frigidaire,Model4787,219.0,A,Double Door,Water Dispenser,Gray,Glass,1.0,China,1511.0
Samsung,Model4788,689.0,A,Double Door,Water Dispenser,Black,Glass,6.0,Germany,1224.0
Samsung,Model4789,529.0,A,Double Door,Standard,Gray,Glass,9.0,India,1696.0
Electrolux,Model4790,572.0,A,Double Door,Ice Dispenser,Black,Stainless Steel,6.0,India,453.0
Haier,Model4793,773.0,B,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,1.0,Germany,887.0
GE,Model4794,425.0,A+,Double Door,Water Dispenser,Gray,Glass,8.0,China,260.0
Samsung,Model4795,415.0,A++,Side-by-Side,Standard,Black,Glass,2.0,China,1815.0
LG,Model4797,391.0,A++,Side-by-Side,Smart Connectivity,Silver,Glass,8.0,China,1879.0
Siemens,Model4799,463.0,A+,Single Door,Ice Dispenser,White,Plastic,5.0,Germany,1257.0
Siemens,Model4800,498.0,A++,Single Door,Standard,Black,Glass,5.0,India,654.0
Siemens,Model4801,229.0,A,Double Door,Smart Connectivity,Silver,Plastic,5.0,India,582.0
Siemens,Model4803,393.0,A,Single Door,Standard,White,Plastic,5.0,USA,1746.0
Bosch,Model4805,766.0,B,Single Door,Smart Connectivity,Silver,Plastic,7.0,China,1497.0
LG,Model4808,628.0,A,Single Door,Smart Connectivity,White,Stainless Steel,9.0,USA,1770.0
Whirlpool,Model4809,396.0,A+,Single Door,Standard,Gray,Glass,7.0,India,1732.0
Electrolux,Model4810,369.0,A++,Double Door,Water Dispenser,Black,Glass,3.0,USA,1530.0
Samsung,Model4811,755.0,A,Double Door,Water Dispenser,White,Glass,8.0,Germany,233.0
Haier,Model4814,496.0,A,Side-by-Side,Smart Connectivity,Silver,Plastic,4.0,India,1368.0
Haier,Model4815,100.0,A+,Single Door,Water Dispenser,White,Glass,6.0,China,570.0
Bosch,Model4817,235.0,A++,Double Door,Standard,White,Glass,3.0,Germany,568.0
Electrolux,Model4818,168.0,B,Single Door,Standard,Gray,Glass,8.0,USA,1385.0
Frigidaire,Model4819,368.0,A,Single Door,Ice Dispenser,White,Stainless Steel,8.0,USA,756.0
Haier,Model4820,760.0,A+,Single Door,Standard,Gray,Stainless Steel,8.0,China,1309.0
Electrolux,Model4822,571.0,A+,Side-by-Side,Standard,White,Plastic,2.0,Germany,315.0
GE,Model4824,419.0,B,Single Door,Ice Dispenser,Silver,Glass,7.0,Germany,621.0
Panasonic,Model4825,578.0,A++,Side-by-Side,Standard,Gray,Glass,9.0,China,957.0
Bosch,Model4826,214.0,A++,Double Door,Water Dispenser,White,Plastic,8.0,China,1017.0
Bosch,Model4828,263.0,A+,Double Door,Smart Connectivity,Black,Glass,4.0,USA,806.0
Samsung,Model4829,768.0,A++,Double Door,Smart Connectivity,Gray,Glass,7.0,USA,1360.0
Bosch,Model4834,590.0,A,Double Door,Water Dispenser,White,Stainless Steel,6.0,USA,1367.0
